AccountID,Amount
12j8KjmrujjLMgZz5cHDDnQWZoW6iTJDqZKBRMuwwbB7UDVD,10.00
15KKvDbo9L2ReXMRvfR69kjJhnXfz8wYooCsmwndr9qYaqGW,10.00
1H7tVRG4P6SdgAjPYhuqQyXrSssrdfwiFPezmCvzuBSB3jz,6.00
13uv9y5nDVw8UhM44NwEL3yPpSfBEsUVxgkko4ctUBLqabhM,5.00
15YHTG1zgP8M1WXa7RyMRR4Nmfo1mcYY3fX86V7keEpJjoNc,10.00
14dQrKjLq9eBTWAHaQa6eJ2FfjEUY6TJsKGpGnmpe3StLfe1,202.00
12Whk8CnYbCtgRSeppjYDrHVb7uGEGrDMywEcn1UXw7vPenz,100.00
16Uugc4CBz6nMRsaBwjPFrjsS8qCaJtw4mq5m1XE7LgMMQmT,50.00
14V3mmN7qcM2e3npk5Ty9xpXehtCXMPbBug3wBTRbEd3Pd8b,66.00
14QDsfw3aT56mReodKzoYkCwx1VyUYXRBTFHZBCbkhBBWfN,"1,200.00"
14fft6LyaTFReDfWe2eWdq2zAvZ2MhAdxmAyyYBFUrKWJGxE,120.00
15Smfhgp9AQFQX2RVvQrfiFZoj8uH6pfW5EZ1fAY3rFvSBii,21.48
16DZY3X9buB7QJhCPZt3S69Qxgwu9mcG5qvpcs2awU7dfENZ,50.00
129kuWfCViG3kTHTXhDeCWTiH6KKxuE958tyFyLah9QxaAcE,110.00
13phrq7gYDgemmCc4xzGm7SCabmGXgQurh4eTYA1XTB4KKqj,23.00
12jtweto8bRWGk4FSPVkSPA2yqZHwLi7Aax4AprL8HBraupt,10.00
16G77xBQKByaQ1yJWaBttimqDuYXaAVaiEAC7R85atUTiiuD,922.00
146NtEPVgPDoi33eVV6nFWc6AZ7YDsrWmutRD2KU5WDy1z2T,20.00
16a82ZAtpZg6p1tZSPAPdXb8mUSmn8TY9uFZFbnT7Xc3TZ7X,500.00
13bFs7HsyYgNBTNuD8nR3PyBrTbGvoo4YPCHytM5fRoSKsg5,5.10
16cn4zZTuC56NQjr3tLeAEbrKhfdTT35yPtg7bF4FPvAqjwz,35.00
133Ve6onAxCqYwfTNCipYGu1L4qzRwnPKELbVpHgEA9uQsqe,101.50
15iRBqCc7qNxZVW5xpiEvRfN9MZRX9hgvTW7StqUHq81wZ6P,5.00
136k5cyogmDpRdsxuNEPZF1iQZjMeQtRs44KNofi1a3bgtaS,100.00
15UdFtHKM37H7WFxRETtN6Fne88inC1BNjHkQhw2AnjiVCPv,18.70
14coMWWyXn6tN9JTmcwHucFJxgLdQcP5SaTH9ea79oLtZscd,5.00
19gYqWtPEbVQAb1GWKvKwmmiCn3JZ66jfAc1gQ4aViSsUgN,100.00
15rAxbskD99YQkXjjvEiAAkNzhGkYFyfjPLVaHs7UJ5U75je,100.00
1jUdFT6xP8FzVwstjfSoGDVV2D5fy23VGjUEbDm5vyQLQ2P,50.00
11ayR6MtJrZxa3jEf6M3Urfe2keVvBTYkSMzRX4sZHFkdyZ,100.00
139CVoWuLuLxXU3Bs7bZnDfh8cKGsTMmmhydvzq3D6Yv2XU1,50.00
121v4FPjKT6LpDHaDUHNWdEY9LNFRTktW846DmX8Beatppvu,35.21
12W2wQqT8ZPG2sUKsHpKajYn1J7Gi1wGAb9atwP4pLgUZgq5,30.00
12p9enCWaywuWPnecNnaWX9ASndhBNcC6YfRNLWwi2puQwjq,11.90
1jAb1zAfQqhZq1gHKhxsiiVZ2Kb4WPKNUhcXzH7fUwutCRy,5.00
15Jg1c8cAXaz6Y1vhAguc1pU1ZwWqxJGECHEk9APsU31R1hr,10.00
152Xfdez8WAKKdijfCVHmG7KUcuNYa9CN2zsVkWHXNZ9hUvc,54.00
16GSaJd3eJiCDb34iUTucKUmuwHsakGHHGa9pL6V7WgV2Pi8,20.00
15SDVwHuDd3SHPF2eP1XsiGW3HmcS5hh4urHe6147tYMWyfx,5.00
136HJLthqKcBaRLR1sS25Vdj8UpbHVCDum1h9SFJBuZSprHK,24.00
13sKwnHH8KUmWuMUshYsYbixj7nZf7ETGpiff7aokLz1wsCE,5.00
14VwvBeT4NfNmJDBgi2pwWmwYGpPXMofonBwLhmuzyypkMVE,8.00
12TY1QZThqQQ37xMajGXTx9vT2M7qCEnKVpkteRa3fFjyf9K,10.00
15B5jBcVfkEoUDWNrJSpiENNyPb8j8rhKWMEC41jJkVkia8W,100.00
178dgt8DDnGeGzJrzXUMSrzRdk6kkczmUXsAv6s5fhasrS3,5.00
162PruRxiLBRKwMexR3VJSmG7GgiKxR9xgkgtE1gGVWE8HGA,5.00
16kNCRhKagidgY9RLwQM7HNAjt5tAXkbEStxdPrcvnymPfyu,74.50
13QTyA6gc85fGKSuxSbh5NgZKtRfgzNnd3zpLQRENPDo9gAe,25.00
19FAztsv29YesZRWhyx2nd8amDaooAw3G4dDvu6di4mr3fG,"2,570.00"
1Em9XK9e8TMD79K4s2zJBArtNAtKv6UpP6KbrGo3XNKEF6k,100.00
13VYVMW6ekFsxuE9LxigBTnRatZoQMNr3eFkTJsusEFQnmWZ,5.00
13bikugW9pzoWynGgRc19SnN6JUMm4be62Euojv5EdY3T3qi,10.00
1EHUWj4zzeLjBM3teRz5xwDAp5H6KZB2nL6wZGdMfEEBjXT,8.00
14SNackKcim3Ur1rT6ysBtAJn97CzCmdsTTR5Z4jQ4CjjrGG,105.00
14YpQ13PnAC8MjC7WgReNopSNXfWtZUVbHvtvGEqp4Rp7fy2,58.50
15Uy6QG3JMrUxNeciHMfLhiXusT2d7Ksd9DEUuea7xWDKwYz,5.00
15kheJJS7CF3M2CDoNBXwmgrAJthGLnsXCMbowVofJgBMtKG,160.00
12HT8TsdXZ74yrehf3hVViYnxxCpZUWDH22KwHy9syULCL6e,10.00
14rQ3gnFkQvT8xQ7XriZ3h9LHB28epm2awwrxiQfi2eoCHVi,15.00
13dXN2feFGcXgZ4GAs7bVZnA4tJNDNYoy6Ct4kfodsu3EViE,20.50
13gdbG6czVXWv5MqfoLsUSXkGV696bu68wktBAVe5Lp3YXre,10.00
13xFEGWVQ4MopMinKrmWUMhNbsyqpVDXssohufJQaaij9pgy,5.00
173enTUPbVYZsTdCQJ79U4a2YRZcxZPryAWa8NReBz9xA4u,10.00
16LbyzpDdrSvv7C4UaZg6AB12ue7edDj4AvLTmXU4BtNZMKn,10.00
1bAJ1H1yyHgVZAGqfqwJuoAbr5ZC9mrjXbS7XL1gw7mxVjq,20.00
16Y4zSbBgJhMtTtjKdNDvFvhqcKqW2VV3RhFDZvUoxC1zsDc,19.00
12W1bbhG6mVdB1YtP9BQrsKwb8YN2ppvajkY46u8Ge1DYmir,50.00
12nTLsZ8AkPzMN1xMg9yWuTUNAxyeYkTgnwYN2Wf3aUSRgko,5.00
1588zDJxbMtsVwf6ecr6EciYk4pPy1bkLza216Sg39esJaw3,20.00
17XLpQ7FW3kJQBs4eLRRKa1JAhqpioYiim5FGNeFX1fW3cu,32.00
14JyQ9onyDYt4CKhRdZQ2meuwz1TwcgGa1Mhy4GDw6GEBAXv,6.00
12bP1q2myWtupTQUaGxcFeuSYQARSzUJasMV3kTHie3nhXgP,6.00
12NtN8M3w8nne7X6pQSnch938tFYB3zPjpjGyzT2uQo6ViUY,100.00
14xM2vfCxb4x5ZTo2mmKEcvoRzFR9aKn4hyScguPHg2rwkCN,350.00
13dZmavdWVGZKHkA4hHmKAhucoCK1ABdFUmaQ9e6hY38KSkD,90.00
15dDf8iPqdjc4XVVeABx74xM9KjiURRAksxvXkDnhGwWAUpJ,21.00
1eTJtKP8YmSjabU5tSvRrcdjK7XrFgEj76GygyZ2Swx3BYk,15.00
1ZG88fVai8HSyJsuhckhrCE4dvuMT4Vw5xW3s4hZvBR6NQf,300.00
145XTKCsdz25fLz5ThstAoQmdbzknktNmGKxKRjWXX6KmBvH,15.00
13zhTtN48sevGg4fAu1XceHYGaFBkdMrpu7cnvKSViWJUQuM,70.00
15oaaZ9YQGm3Fhvht7NACDiHuy4PNfLkmaSV7g1Le2SMtEDF,5.00
1F4zndRuRSnroapf4TceDgXUK91Y7PUBEDbS8LPJhdgm5Kb,18.20
12nBfAW5gT9hQ8vQdhomvmjs35tu75twTP8fS1Lkah1mpaWw,110.00
15qsPnHaXMCEDhPmGSv55ZaLQSJk7tbmPo44ZUVyJCp3mLLf,100.00
12HUmUkUFkSYmK2i3ax2eLiNvvcowxu2bVV1jhTZeuMJmebi,21.00
14gW9Y2CPqEDUAGn6pPVpWKCepU6cEZk7DCkVzgJDcoseWbj,13.00
14VrWKTopyrc1RrRECzJ7RxbsdNqrht4EHPDruEwwhmdf3PZ,5.20
14gSwMn3CzxUSvRqYVxK6SiENRCCh5FJzeDa2w7qJE4ZLpk9,5.00
15BXmUNYcbDo62bjNY8tFbVTAxeVtkX6fSrMt9h3xzA1nPTh,20.50
12N7MEpgXLv9pEeMwtToa1dRT6mjdHGr7p2dwyHiyaDbBUr9,150.00
1jbZxCFeNMRgVRfggkknf8sTWzrVKbzLvRuLWvSyg9bByRG,250.00
1j52qgkWWmVTAARWM3fq9ZCrpu62abtWwoEJkFj6MVgNJpG,74.95
13QLTwLxFu389MFX96wkDWynfHjrqXuTzgaokPP2hwWfNAAL,101.00
13MpR8NrWC9AsfRXMg4WchdWsMNx4LuLP3sCWSH12Wg8zgp5,61.00
13MRJdp1ciDLjeQqC4Hr8Sq5iYKUsSBqN7m7M9eYzVRjgXgF,15.00
1gcWRRwf29LNc8QZdLcCTVSMndyQPpCX3dGKBCRt21fsm9a,340.00
14wr7c6iYT8RpWTBTsEZeUPkT76CzLb82FTmMsbRv1RwTQZA,100.00
15VneBDiHwNCRML95V2cfyy7Hp7EZ1u2GsHa1aMiwrwL8SFC,30.00
1xMKdAnMQHxwwf9NjFpstRB9FoguhJXqtdj8KdxrJqb7mGK,7.00
12WmvSSfCL3Gq2tg2fnyd7Vyrdfaa3dq5xrNvCWQso3hfbFn,10.85
14BjxMNAw1gWXga28VmnysA2M99KivyeWaZusNvKXQ69GcjF,6.00
1ZaEvENLaynSycKPtvup9kWud1YYSJcZA4byunFvEoF7jPw,25.00
1TiqKMdQRD8cToKyRqBAs4z3k5ZiNTwaMN5zz25dt4kEuMj,38.00
15DMRvTrPTRMQa8ychRPfN3pRKQ4MBoTQgJRqWUAcWx3QGcr,60.00
12Vzr72iJEgMtfRyMUvyPFQuMREPXzLF3Q1JjSZ5UAWbPG7g,27.70
1nFSQ9jB7tep4WjwJ7mN3mJ1PNNiMwPZJD1xjWstaGn3kKs,5.00
142zzLxDTtzu5n25bjy3t3o69B44ZrXJoh3jyu35cZHgbqGL,105.00
1ejqwhQ1PEkhSGvfdoFWQZRCxBf4oJazjDGtsWRLxLMfNdH,267.00
16SxLN7rzPLL849oiTfMedqs83PJGNhuNgKEaUQj2niM7ENR,14.00
12EhyAYXJrgZyZqC6J7qt7Hmjmt9qnfarwAtMNR1k9jx3PeP,215.00
16RvTGKogrtskaCrzUWXvwsbdvKeo9jCtZ7QWNZmB367rLYQ,236.00
1271b1e5eqDe4GzdLRGvRPKA6yXJmuSFtmpXXqBBezUq61Rv,99.00
1h3s91dJ1R3XCXi6hgJ9utTfjaDuRyLemXaLV6fGs95vxYn,245.00
